[WARN ] 2018-11-06T09:31:40,176Z [Thread-2 (ActiveMQ-server-org.apache.activemq.artemis.core.server.impl.ActiveMQServerImpl$3@3c5cb013)] core.client.fail - AMQ212037: Connection failure has been detected: AMQ119014: Did not receive data from /2a01:4c8:102b:f582:71e2:d233:eb05:4905:59872 within the 60,000ms connection TTL. The connection will now be closed. [code=CONNECTION_TIMEDOUT] {}
[WARN ] 2018-11-06T09:31:25,029Z [HikariPool-1 housekeeper] pool.HikariPool.run - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=11h41m20s102ms). {}
[INFO ] 2018-11-06T09:32:43,905Z [nioEventLoopGroup-2-3] netty.AMQPClient.operationComplete - Failed to connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10009 {}
[INFO ] 2018-11-06T09:32:50,084Z [nioEventLoopGroup-2-6] netty.AMQPClient.run - Retry connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10009 {}
[INFO ] 2018-11-06T09:32:50,084Z [nioEventLoopGroup-2-5] netty.AMQPClient.run - Retry connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10006 {}
[INFO ] 2018-11-06T09:32:50,163Z [nioEventLoopGroup-2-7] netty.AMQPClient.operationComplete - Failed to connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10009 {}
[INFO ] 2018-11-06T09:32:50,165Z [nioEventLoopGroup-2-8] netty.AMQPClient.operationComplete - Failed to connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10006 {}
[INFO ] 2018-11-06T09:32:54,938Z [nioEventLoopGroup-2-9] netty.AMQPClient.run - Retry connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10009 {}
[INFO ] 2018-11-06T09:32:54,956Z [nioEventLoopGroup-2-10] netty.AMQPClient.run - Retry connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10006 {}
[INFO ] 2018-11-06T09:32:55,495Z [nioEventLoopGroup-2-12] netty.AMQPClient.operationComplete - Failed to connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10006 {}
[INFO ] 2018-11-06T09:32:55,493Z [nioEventLoopGroup-2-11] netty.AMQPClient.operationComplete - Failed to connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10009 {}
[INFO ] 2018-11-06T09:32:59,143Z [nioEventLoopGroup-2-13] netty.AMQPClient.run - Retry connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10006 {}
